siteType,characteristicType,numSites,numRecords,totalNumUniqueSites
Land,Microbiological,551,4061,11066
Land,Nutrient,2053,88119,11066
Land,"Organics, Other",1943,69069,11066
Land,"Organics, PCBs",353,5032,11066
Land,"Organics, Pesticide",747,120977,11066
Land,Physical,3714,96330,11066
Land,Population/Community,2,7,11066
Land,Radiochemical,1783,7152,11066
Land,Sediment,145,3045,11066
Land,Stable Isotopes,177,2150,11066
Land,Toxicity,0,0,11066
Ocean,Biological,2159,506516,33321
Ocean,Information,2162,166756,33321
Ocean,"Inorganics, Major, Metals",726,8257,33321
Ocean,"Inorganics, Major, Non-metals",698,64004,33321
Ocean,"Inorganics, Minor, Metals",2239,80065,33321
Ocean,"Inorganics, Minor, Non-metals",2166,14641,33321
Ocean,Microbiological,11860,3417975,33321
Ocean,Nutrient,2815,306943,33321
Ocean,"Organics, Other",2702,236228,33321
Ocean,"Organics, PCBs",1264,244625,33321
Ocean,"Organics, Pesticide",1686,122520,33321
Ocean,Physical,7232,8021583,33321
Ocean,Population/Community,0,0,33321
Ocean,Radiochemical,77,234,33321
Ocean,Sediment,89,402,33321
Ocean,Stable Isotopes,510,16574,33321
Ocean,Toxicity,0,0,33321
Spring,Biological,477,11009,37771
Spring,Information,612,13422,37771
Spring,"Inorganics, Major, Metals",13060,183473,37771
Spring,"Inorganics, Major, Non-metals",15729,263200,37771
Spring,"Inorganics, Minor, Metals",11589,228564,37771
Spring,"Inorganics, Minor, Non-metals",8297,40409,37771
Spring,Microbiological,1857,29683,37771
Spring,Nutrient,11591,220904,37771
Spring,"Organics, Other",2882,92129,37771
Spring,"Organics, PCBs",172,1001,37771
Spring,"Organics, Pesticide",1062,162079,37771
Spring,Physical,18702,572589,37771
Spring,Population/Community,15,45,37771
Spring,Radiochemical,4338,20184,37771
Spring,Sediment,52,461,37771
Spring,Stable Isotopes,2353,9680,37771
Spring,Toxicity,0,0,37771
Stream,Biological,47010,2950791,508025
Stream,Information,54319,1947474,508025
Stream,"Inorganics, Major, Metals",128662,7563878,508025
Stream,"Inorganics, Major, Non-metals",169039,12872974,508025
Stream,"Inorganics, Minor, Metals",142548,14217208,508025
Stream,"Inorganics, Minor, Non-metals",110181,2350676,508025
Stream,Microbiological,87459,3230041,508025
Stream,Nutrient,188201,21197143,508025
Stream,"Organics, Other",88331,4489218,508025
Stream,"Organics, PCBs",21857,1121216,508025
Stream,"Organics, Pesticide",32966,7816215,508025
Stream,Physical,275149,76267683,508025
Stream,Population/Community,962,27827,508025
Stream,Radiochemical,37411,295270,508025
Stream,Sediment,29061,2978591,508025
Stream,Stable Isotopes,6213,67201,508025
Stream,Toxicity,138,452,508025
Subsurface,Biological,25,129,3353
Subsurface,Information,0,0,3353
Subsurface,"Inorganics, Major, Metals",996,32490,3353
Subsurface,"Inorganics, Major, Non-metals",1409,52099,3353
Subsurface,"Inorganics, Minor, Metals",1049,95477,3353
Subsurface,"Inorganics, Minor, Non-metals",800,12848,3353
Subsurface,Microbiological,30,118,3353
Subsurface,Nutrient,1053,44792,3353
Subsurface,"Organics, Other",508,12128,3353
Subsurface,"Organics, PCBs",6,11,3353
Subsurface,"Organics, Pesticide",254,31191,3353
Subsurface,Physical,1458,58934,3353
Subsurface,Population/Community,0,0,3353
Subsurface,Radiochemical,473,2974,3353
Subsurface,Sediment,32,1439,3353
Subsurface,Stable Isotopes,280,2941,3353
Subsurface,Toxicity,0,0,3353
Well,Biological,55,1475,1477929
Well,Information,875,33883,1477929
Well,"Inorganics, Major, Metals",196464,2266289,1477929
Well,"Inorganics, Major, Non-metals",272667,3986915,1477929
Well,"Inorganics, Minor, Metals",183705,2431081,1477929
Well,"Inorganics, Minor, Non-metals",114380,555625,1477929
Well,Microbiological,21453,121627,1477929
Well,Nutrient,194552,2379789,1477929
Well,"Organics, Other",69390,4821811,1477929
Well,"Organics, PCBs",7271,42386,1477929
Well,"Organics, Pesticide",45317,3761158,1477929
Well,Physical,291892,4990535,1477929
Well,Population/Community,10,10,1477929
Well,Radiochemical,45193,315680,1477929
Well,Sediment,236,2256,1477929
Well,Stable Isotopes,21567,73984,1477929
Well,Toxicity,5,41,1477929
Wetland,Biological,799,11953,6547
Wetland,Information,1222,29581,6547
Wetland,"Inorganics, Major, Metals",2073,117457,6547
Wetland,"Inorganics, Major, Non-metals",2608,84770,6547
Wetland,"Inorganics, Minor, Metals",1854,82667,6547
Wetland,"Inorganics, Minor, Non-metals",768,10306,6547
Wetland,Microbiological,303,6999,6547
Wetland,Nutrient,3082,305450,6547
Wetland,"Organics, Other",1274,31665,6547
Wetland,"Organics, PCBs",183,3103,6547
Wetland,"Organics, Pesticide",355,37323,6547
Wetland,Physical,3343,323552,6547
Wetland,Population/Community,0,0,6547
Wetland,Radiochemical,103,470,6547
Wetland,Sediment,52,1033,6547
Wetland,Stable Isotopes,79,651,6547
Wetland,Toxicity,4,4,6547
