characteristicType,siteType,numSites,numRecords,totalNumUniqueSites
"Organics, PCBs",Aggregate surface-water-use,228,4164,46993
"Organics, PCBs",Aggregate groundwater use,360,8034,46993
"Organics, PCBs",Atmosphere,15,4478,46993
"Organics, PCBs",Estuary,8854,327073,46993
"Organics, PCBs",Facility,1252,54571,46993
"Organics, PCBs",Glacier,0,0,46993
"Organics, PCBs","Lake, Reservoir, Impoundment",4958,204764,46993
"Organics, PCBs",Land,353,5032,46993
"Organics, PCBs",Ocean,1264,244625,46993
"Organics, PCBs",Spring,172,1001,46993
"Organics, PCBs",Stream,21857,1121216,46993
"Organics, PCBs",Subsurface,6,11,46993
"Organics, PCBs",Well,7271,42386,46993
"Organics, PCBs",Wetland,183,3103,46993
"Organics, Pesticide",Aggregate surface-water-use,681,28788,102637
"Organics, Pesticide",Aggregate groundwater use,443,116649,102637
"Organics, Pesticide",Atmosphere,64,29898,102637
"Organics, Pesticide",Estuary,9083,298876,102637
"Organics, Pesticide",Facility,2173,167261,102637
"Organics, Pesticide",Glacier,0,0,102637
"Organics, Pesticide","Lake, Reservoir, Impoundment",7043,559486,102637
"Organics, Pesticide",Land,747,120977,102637
"Organics, Pesticide",Ocean,1686,122520,102637
"Organics, Pesticide",Spring,1062,162079,102637
"Organics, Pesticide",Stream,32966,7816215,102637
"Organics, Pesticide",Subsurface,254,31191,102637
"Organics, Pesticide",Well,45317,3761158,102637
"Organics, Pesticide",Wetland,355,37323,102637
Physical,Aggregate surface-water-use,1855,136055,739611
Physical,Aggregate groundwater use,3558,262009,739611
Physical,Atmosphere,922,277719,739611
Physical,Estuary,47620,18995836,739611
Physical,Facility,9041,960244,739611
Physical,Glacier,7,1539,739611
Physical,"Lake, Reservoir, Impoundment",66288,16172143,739611
Physical,Land,3714,96330,739611
Physical,Ocean,7232,8021583,739611
Physical,Spring,18702,572589,739611
Physical,Stream,275149,76267683,739611
Physical,Subsurface,1458,58934,739611
Physical,Well,291892,4990535,739611
Physical,Wetland,3343,323552,739611
Population/Community,Aggregate surface-water-use,0,0,1138
Population/Community,Aggregate groundwater use,0,0,1138
Population/Community,Atmosphere,0,0,1138
Population/Community,Estuary,2,7,1138
Population/Community,Facility,1,8,1138
Population/Community,Glacier,0,0,1138
Population/Community,"Lake, Reservoir, Impoundment",146,1247,1138
Population/Community,Land,2,7,1138
Population/Community,Ocean,0,0,1138
Population/Community,Spring,15,45,1138
Population/Community,Stream,962,27827,1138
Population/Community,Subsurface,0,0,1138
Population/Community,Well,10,10,1138
Population/Community,Wetland,0,0,1138
Radiochemical,Aggregate surface-water-use,9,1925,96683
Radiochemical,Aggregate groundwater use,140,3869,96683
Radiochemical,Atmosphere,109,7745,96683
Radiochemical,Estuary,285,3447,96683
Radiochemical,Facility,431,3893,96683
Radiochemical,Glacier,1,21,96683
Radiochemical,"Lake, Reservoir, Impoundment",5809,36322,96683
Radiochemical,Land,1783,7152,96683
